Site;Layer LTE;LTE detail;CelleLTE_Configurate;Admnistrative_State;Baseband 5216;Baseband 6620;Baseband 6630;Baseband R503;Presenza Baseband;DUS3101;DUS3102;DUS4101;DUS4102;Presenza DUS;#Radio;#RRU;#RU;BB/DU Presenti;0
SP47;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
SP48;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;;3;;BB6630;
SP49;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
SP4B;3;L8L18L21;4;4;;;1;;#1 Baseband 6630;;;;;;3;;2;BB6630;
SP4C;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SP4D;3;L8L18L21;4;4;;;1;;#1 Baseband 6630;;;;;;1;;6;BB6630;
SP4E;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
SP4F;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SP50;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SP51;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;;6;DUS41;
SP54;5;L8L15L18L21L26;6;6;;;2;;#2 Baseband 6630;;;;;;5;;;BB6630;
SP56;2;L8L18;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
SP5B;1;L18;1;1;1;;;;#1 Baseband 5216;;;;;;1;;;BB5216;
SP5C;2;L21L26;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SP5D;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SP5E;2;L21L26;6;6;;;;;;;;1;;#1 DUS4101;;6;;DUS41;
SP66;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SP68;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
SP69;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SP6A;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
SP6B;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;3;;BB5216;
SP6E;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
SP6F;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SP71;3;L18L21L26;6;6;;;1;;#1 Baseband 6630;;;;;;4;;4;BB6630;
SP72;4;L8L18L21L26;12;12;;;1;;#1 Baseband 6630;;;;;;9;;6;BB6630;
SP73;3;L8L18L21;5;5;;;1;;#1 Baseband 6630;;;;;;2;;6;BB6630;
SP75;4;L8L18L21L26;12;12;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;6;9;;BB5216+R503;
SP7E;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;6;;;DUS41;
SP7F;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SP81;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
SP82;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SP83;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
SP84;3;L18L21L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
SP85;3;L18L21L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;6;;BB6630;
SP88;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SP8A;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SP8B;1;L8;1;1;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
SP8E;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SP90;3;L8L18L21;7;7;;;1;;#1 Baseband 6630;;;;;;3;;8;BB6630;
SP91;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;2;;8;BB6630;
SP94;3;L18L21L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
SP95;2;L18L21;6;6;;;;;;;;;1;#1 DUS4102;3;3;;DUS41;
SP96;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SP97;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;5;;;BB6630;
SP98;2;L8L18;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
SP99;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;;;12;DUS41;
SPA0;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SPA5;1;L8;1;1;;;;;;;;1;;#1 DUS4101;;1;;DUS41;
SPB1;2;L8L18;4;4;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
SR04;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
SS23;1;L18;1;1;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
SV01;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV02;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
SV03;1;L8;2;2;;;;;;;;1;;#1 DUS4101;2;;;DUS41;
SV05;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV06;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
SV07;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
SV08;2;L8L18;5;5;;;;;;;;1;;#1 DUS4101;;8;;DUS41;
SV09;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
SV0A;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
SV0C;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SV0F;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
SV11;3;L8L18L26;9;9;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;6;3;;BB5216+R503;
SV12;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
SV13;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
SV14;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV15;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;2;;DUS41;
SV16;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
SV17;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
SV18;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;2;;DUS41;
SV19;5;L8L15L18L21L26;15;15;1;;1;1;#1 Baseband 5216 #1 Baseband 6630 #1 Baseband R503;;;;;;15;;;BB6630;
SV1A;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV1E;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SV1F;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SV20;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV22;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV23;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
SV26;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
SV27;2;L18L26;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
SV28;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
SV29;1;L8;2;2;;;;;;;;1;;#1 DUS4101;2;;;DUS41;
SV2B;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV2F;2;L8L18;4;4;;;;;;;;;1;#1 DUS4102;2;;4;DUS41;
SV30;3;L8L18L26;3;3;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;2;1;;BB5216+R503;
SV31;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SV32;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
SV33;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SV34;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
SV35;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
SV36;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SV37;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV3B;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
SV3C;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
SV3D;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SV3E;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
SV3F;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SV40;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
SV41;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
SV43;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SV45;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;3;;DUS41;
SV46;1;L26;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SV48;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;4;;DUS41;
SV49;2;L18L26;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
SV4A;4;L8L18L21L26;12;12;;;2;;#2 Baseband 6630;;;;;;10;;;BB6630;
SV4B;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
SV4C;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
SV4D;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
SV4E;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
SV4F;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;5;;;BB6630;
SV50;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
SV51;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
SV52;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV53;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
SV54;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV55;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
SV56;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SV57;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;;6;DUS41;
SV5A;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV5B;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
SV5C;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
SV5D;4;L8L18L21L26;12;12;;;2;;#2 Baseband 6630;;;;;;11;;;BB6630;
SV5E;4;L8L15L18L21;8;8;1;;1;1;#1 Baseband 5216 #1 Baseband 6630 #1 Baseband R503;;;;;;8;;;BB6630;
SV5F;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
SV63;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
SV64;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
SV65;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV66;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV67;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV68;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
SV69;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
SV6A;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
SV6E;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV70;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;2;;DUS41;
SV72;2;L8L18;4;4;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV74;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
SV75;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV76;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SV79;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV7A;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV7B;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV7C;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
SV7D;4;L8L18L21L26;12;12;1;;1;1;#1 Baseband 5216 #1 Baseband 6630 #1 Baseband R503;;;;;;11;;;BB6630;
SV7E;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SV80;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
SV81;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SV83;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;;;8;DUS41;
SV85;2;L8L18;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
SV87;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV88;1;L8;1;1;;;;;;;;1;;#1 DUS4101;;1;;DUS41;
SV8C;1;L8;2;2;;;;;;;;1;;#1 DUS4101;2;;;DUS41;
SV8D;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SV95;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SV97;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
SV9B;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
SW05;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SW06;5;L8L15L18L21L26;15;15;;;2;;#2 Baseband 6630;;;;;;15;;;BB6630;
SW07;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SW10;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SW11;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
SW12;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
SW13;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SW16;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SW20;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
SW23;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
SW24;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SW26;3;L8L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;4;;4;BB6630;
SW27;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
SW28;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SW32;1;L18;1;1;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
SW35;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SW37;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SW38;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SW39;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;9;;DUS41;
SW40;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
SW41;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SW42;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
SW43;4;L8L18L21L26;8;8;1;;1;1;#1 Baseband 5216 #1 Baseband 6630 #1 Baseband R503;;;;;;6;;;BB6630;
SW44;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
SW45;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
SW46;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
SW48;1;L26;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
SW49;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
SW50;2;L18L26;6;6;;;;;;;;;1;#1 DUS4102;3;;6;DUS41;
SW51;5;L8L15L18L21L26;15;15;;;2;;#2 Baseband 6630;;;;;;15;;;BB6630;
SW52;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SW53;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SW56;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
SW58;2;L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
SW59;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SW60;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
SW61;2;L8L18;4;4;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
SW62;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
SW63;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
SW64;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
SW67;2;L8L18;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
SW68;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SW70;2;L8L21;4;4;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SW71;1;L8;3;3;;;;;;;;1;;#1 DUS4101;3;;;DUS41;
SW72;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SW73;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SW74;2;L8L18;2;2;;;;;;;;1;;#1 DUS4101;1;;2;DUS41;
SW76;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
SW77;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SW79;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
SW80;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SW81;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
SW82;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
SW83;3;L8L18L21;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SW84;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
SW85;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SW87;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SW89;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SW91;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
SW94;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
SW95;1;L18;1;1;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
SW96;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
SW97;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
SW98;5;L8L15L18L21L26;5;5;1;;1;1;#1 Baseband 5216 #1 Baseband 6630 #1 Baseband R503;;;;;;5;;;BB6630;
TA87;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
TH03;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
TH04;1;L18;1;1;;;;;;;;;;;;;1;non trovato;
TH05;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
TH06;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
TH07;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
TH08;2;L18L26;7;7;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;1;;12;BB5216+R503;
TH09;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
TH0A;2;L18L21;4;4;;;;;;;;;1;#1 DUS4102;3;3;;DUS41;
TH0B;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
TH0D;1;L21;1;1;1;;;;#1 Baseband 5216;;;;;;;;1;BB5216;
TH0E;1;L21;1;1;1;;;;#1 Baseband 5216;;;;;;;;1;BB5216;
TH0F;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
TH11;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
TH12;1;L26;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
TH13;2;L18L26;6;6;1;;;;#1 Baseband 5216;;;;;;;;12;BB5216;
TH14;2;L18L26;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
TH15;2;L18L26;6;6;;;;;;;;;1;#1 DUS4102;;;12;DUS41;
TH16;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
TH17;3;L8L18L26;9;9;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;3;;12;BB5216+R503;
TH18;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
TH19;2;L18L26;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
TH1A;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
TH1B;2;L8L21;6;6;;;1;;#1 Baseband 6630;;;;;;;6;;BB6630;
TH20;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;;6;BB5216;
TH21;2;L18L26;9;9;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
TH23;2;L18L26;6;6;;;;;;;;;1;#1 DUS4102;6;;;DUS41;
TH24;2;L18L26;4;4;;;;;;;;;1;#1 DUS4102;1;3;;DUS41;
TH25;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
TH26;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
TH27;2;L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
TH28;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
TH29;3;L18L21L26;12;12;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
TH2A;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
TH2C;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
TH2D;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
TH2E;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
TH2F;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
TH30;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
TH31;2;L18L21;2;2;;;;;;;;1;;#1 DUS4101;1;;2;DUS41;
TH32;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;;;12;DUS41;
TH33;2;L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
TH34;2;L18L26;6;6;;;;;;;;;1;#1 DUS4102;;;12;DUS41;
TH35;2;L18L26;7;7;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;4;;6;BB5216+R503;
TH36;2;L18L26;6;6;;;;;;;;;1;#1 DUS4102;;;12;DUS41;
TH37;2;L18L26;4;4;;;;;;;;1;;#1 DUS4101;;;8;DUS41;
TH38;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;;;12;BB5216;
TH39;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;6;;;DUS41;
TH3D;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
TH3F;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;2;;DUS41;
TH40;2;L18L26;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
TH41;3;L8L18L26;10;10;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;5;;10;BB5216+R503;
TH42;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
TH43;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
TH44;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;6;;DUS41;
TH46;2;L18L26;3;3;;;;;;;;;1;#1 DUS4102;1;;4;DUS41;
TH47;2;L18L26;4;4;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
TH48;2;L18L26;7;7;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;1;6;;BB5216+R503;
TH49;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
TH4A;1;L18;1;1;;;;;;;;;1;#1 DUS4102;;;2;DUS41;
TH4B;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;;6;;BB5216;
TH4C;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
TH4E;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
TH4F;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
TH50;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
TH51;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
TH52;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
TH53;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
TH55;3;L8L18L26;11;11;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;11;;;BB5216+R503;
TH56;2;L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
TH57;2;L18L26;6;6;;;;;;;;;1;#1 DUS4102;6;;;DUS41;
TH58;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
TH59;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
TH5A;1;L18;3;3;;;;;;;;;1;#1 DUS4102;3;;;DUS41;
TH5B;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
TH5D;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
TH5E;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
TH61;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
TH63;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
TH66;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;;6;;DUS41;
TH68;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
TH69;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
TH6A;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
TH6C;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
TH6D;3;L8L18L21;9;9;;;1;1;#1 Baseband 6630 #1 Baseband R503;;;;;;;;18;BB6630;
